"","candidate","series","month","year","coverage","polling_result"
"1","Pence","BLOOMBERG","12","2019",0,36
"2","Pence","CNBC","12","2019",0,36
"3","Sanders","CSPAN3","2","2019",0.0106,49.9
"4","Pence","CNBC","7","2019",0.0126,46.5
"5","Pence","CSPAN3","12","2019",0.0128,36
"6","Pence","MSNBC","12","2019",0.0172,36
"7","Pence","BLOOMBERG","7","2019",0.0179,46.5
"8","Sanders","CSPAN3","8","2019",0.0214,45.2
"9","Sanders","CSPAN3","7","2019",0.0289,47.6
"10","Pence","CSPAN3","7","2019",0.0305,46.5
"11","Sanders","BLOOMBERG","12","2018",0.0306,46.68
"12","Sanders","CSPAN3","12","2019",0.0321,47.3012
"13","Sanders","CSPAN3","9","2019",0.0324,46.5
"14","Sanders","CNBC","12","2018",0.035,46.68
"15","Pence","CSPAN2","12","2019",0.0365,36
"16","Sanders","CSPAN3","4","2019",0.0373,39.9
"17","Sanders","CSPAN3","1","2019",0.0394,50.5
"18","Sanders","CSPAN3","5","2019",0.0437,49.7
"19","Sanders","BLOOMBERG","3","2019",0.0448,51.1333333333333
"20","Sanders","CSPAN2","7","2019",0.0453,47.6
"21","Sanders","CNBC","8","2019",0.0455,45.2
"22","Sanders","BLOOMBERG","1","2019",0.0482,50.5
"23","Sanders","CNBC","1","2019",0.0489,50.5
"24","Clinton","CNBC","2","2019",0.0531,45
"25","Sanders","CSPAN3","11","2019",0.0533,44.8333333333333
"26","Sanders","CSPAN3","3","2019",0.0533,51.1333333333333
"27","Sanders","CSPAN2","4","2019",0.0542,39.9
"28","Sanders","CNBC","12","2019",0.0576,47.3012
"29","Sanders","BLOOMBERG","11","2019",0.0591,44.8333333333333
"30","Sanders","CNBC","3","2019",0.0646,51.1333333333333
"31","Sanders","CSPAN2","11","2019",0.0679,44.8333333333333
"32","Sanders","CSPAN2","5","2019",0.0705,49.7
"33","Sanders","CSPAN3","6","2019",0.0705,46.8222222222222
"34","Sanders","BLOOMBERG","5","2019",0.0709,49.7
"35","Sanders","CSPAN3","12","2018",0.0722,46.68
"36","Sanders","BLOOMBERG","4","2019",0.0723,39.9
"37","Sanders","CSPAN2","10","2019",0.0746,44.9583333333333
"38","Sanders","CSPAN2","2","2019",0.0746,49.9
"39","Pence","FOXNEWS","12","2019",0.0754,36
"40","Sanders","CNBC","7","2019",0.0755,47.6
"41","Sanders","CSPAN3","10","2019",0.0782,44.9583333333333
"42","Clinton","BLOOMBERG","2","2019",0.0807,45
"43","Sanders","CSPAN2","1","2019",0.0831,50.5
"44","Sanders","CSPAN2","3","2019",0.0833,51.1333333333333
"45","Sanders","CNBC","4","2019",0.0875,39.9
"46","Sanders","BLOOMBERG","7","2019",0.093,47.6
"47","Sanders","CNBC","5","2019",0.0963,49.7
"48","Sanders","CSPAN2","9","2019",0.0975,46.5
"49","Pence","CSPAN2","7","2019",0.1015,46.5
"50","Sanders","BLOOMBERG","12","2019",0.1016,47.3012
"51","Sanders","BLOOMBERG","8","2019",0.1041,45.2
"52","Sanders","CSPAN2","8","2019",0.1149,45.2
"53","Pence","CNN","7","2019",0.1154,46.5
"54","Pence","FOXNEWS","7","2019",0.1232,46.5
"55","Sanders","BLOOMBERG","9","2019",0.1239,46.5
"56","Sanders","CSPAN","12","2018",0.1264,46.68
"57","Sanders","BLOOMBERG","10","2019",0.1279,44.9583333333333
"58","Sanders","CSPAN","2","2019",0.1279,49.9
"59","Sanders","CSPAN","1","2019",0.1287,50.5
"60","Pence","CSPAN","12","2019",0.1296,36
"61","Sanders","CSPAN2","12","2019",0.1338,47.3012
"62","Sanders","CNBC","9","2019",0.1365,46.5
"63","Sanders","CSPAN2","12","2018",0.1375,46.68
"64","Pence","FBC","7","2019",0.1397,46.5
"65","Sanders","CNBC","11","2019",0.1498,44.8333333333333
"66","Pence","FBC","12","2019",0.154,36
"67","Sanders","BLOOMBERG","2","2019",0.1615,49.9
"68","Sanders","BLOOMBERG","6","2019",0.1685,46.8222222222222
"69","Sanders","CNBC","2","2019",0.178,49.9
"70","Sanders","CSPAN","12","2019",0.1823,47.3012
"71","Sanders","CNBC","10","2019",0.1843,44.9583333333333
"72","Pence","MSNBC","7","2019",0.1898,46.5
"73","Clinton","CSPAN2","2","2019",0.1906,45
"74","Sanders","CSPAN","7","2019",0.2026,47.6
"75","Sanders","CSPAN2","6","2019",0.2207,46.8222222222222
"76","Pence","CNN","12","2019",0.2224,36
"77","Sanders","CSPAN","3","2019",0.2315,51.1333333333333
"78","Sanders","FBC","12","2018",0.2368,46.68
"79","Sanders","CNN","12","2019",0.2533,47.3012
"80","Sanders","CNBC","6","2019",0.2698,46.8222222222222
"81","Sanders","FBC","1","2019",0.2768,50.5
"82","Sanders","MSNBC","12","2018",0.2771,46.68
"83","Clinton","CSPAN3","2","2019",0.2872,45
"84","Pence","CSPAN","7","2019",0.3017,46.5
"85","Sanders","CSPAN","4","2019",0.3489,39.9
"86","Clinton","CSPAN","2","2019",0.3585,45
"87","Sanders","MSNBC","1","2019",0.3672,50.5
"88","Sanders","CSPAN","8","2019",0.385,45.2
"89","Sanders","CSPAN","5","2019",0.3879,49.7
"90","Sanders","FOXNEWS","12","2018",0.3891,46.68
"91","Sanders","CSPAN","10","2019",0.3924,44.9583333333333
"92","Sanders","CNN","12","2018",0.401,46.68
"93","Sanders","FOXNEWS","12","2019",0.418,47.3012
"94","Sanders","MSNBC","12","2019",0.4194,47.3012
"95","Trump","CSPAN3","8","2019",0.4653,43.4827586206897
"96","Sanders","CSPAN","11","2019",0.4657,44.8333333333333
"97","Sanders","CSPAN","9","2019",0.4734,46.5
"98","Sanders","FOXNEWS","1","2019",0.4837,50.5
"99","Sanders","CSPAN","6","2019",0.4854,46.8222222222222
"100","Sanders","CNN","1","2019",0.503,50.5
"101","Sanders","FBC","3","2019",0.5172,51.1333333333333
"102","Sanders","CNN","11","2019",0.543,44.8333333333333
"103","Sanders","CNN","9","2019",0.5733,46.5
"104","Clinton","FBC","2","2019",0.598,45
"105","Sanders","FBC","12","2019",0.6065,47.3012
"106","Sanders","MSNBC","11","2019",0.6118,44.8333333333333
"107","Sanders","MSNBC","9","2019",0.6243,46.5
"108","Sanders","CNN","8","2019",0.6301,45.2
"109","Clinton","CNN","2","2019",0.6357,45
"110","Sanders","MSNBC","3","2019",0.666,51.1333333333333
"111","Sanders","FBC","5","2019",0.672,49.7
"112","Sanders","CNN","5","2019",0.6954,49.7
"113","Sanders","CNN","3","2019",0.7119,51.1333333333333
"114","Sanders","CNN","2","2019",0.7144,49.9
"115","Sanders","FBC","2","2019",0.7147,49.9
"116","Sanders","FOXNEWS","9","2019",0.7182,46.5
"117","Clinton","MSNBC","2","2019",0.7282,45
"118","Sanders","FBC","10","2019",0.7584,44.9583333333333
"119","Sanders","MSNBC","2","2019",0.7586,49.9
"120","Sanders","FBC","11","2019",0.7623,44.8333333333333
"121","Clinton","FOXNEWS","2","2019",0.7736,45
"122","Sanders","FOXNEWS","11","2019",0.7949,44.8333333333333
"123","Sanders","MSNBC","5","2019",0.7966,49.7
"124","Sanders","MSNBC","10","2019",0.7971,44.9583333333333
"125","Sanders","MSNBC","8","2019",0.7992,45.2
"126","Sanders","FBC","7","2019",0.8048,47.6
"127","Sanders","FBC","8","2019",0.8079,45.2
"128","Sanders","CNN","10","2019",0.8093,44.9583333333333
"129","Sanders","FOXNEWS","3","2019",0.851,51.1333333333333
"130","Trump","CSPAN3","11","2018",0.8627,43
"131","Sanders","FOXNEWS","8","2019",0.8719,45.2
"132","Sanders","FOXNEWS","7","2019",0.8853,47.6
"133","Sanders","FOXNEWS","5","2019",0.887,49.7
"134","Sanders","FOXNEWS","2","2019",0.9487,49.9
"135","Sanders","FBC","9","2019",0.9719,46.5
"136","Sanders","FOXNEWS","10","2019",1.0097,44.9583333333333
